id,Coeficiente,Freq.(%),Nota Enem
adswkk,0.6875,80.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,89.5,577.2
adswkk,0.6875,88.0,577.2
adswkk,0.6875,76.5,577.2
acwuin,0.4583,22.2,681.9
acwuin,0.4583,88.9,681.9
adswkk,0.6875,89.5,577.2
acwuin,0.4583,97.3,681.9
adswkk,0.6875,88.0,577.2
acwuin,0.4583,96.9,681.9
adswkk,0.6875,76.5,577.2
acwuin,0.4583,18.9,681.9
adswkk,0.6875,82.6,577.2
acwuin,0.4583,18.9,681.9
adswkk,0.6875,82.4,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.2,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,76.5,577.2
acwuin,0.4583,86.1,681.9
adswkk,0.6875,,577.2
acwuin,0.4583,83.3,681.9
adswkk,0.6875,,577.2
adswkk,0.6875,,577.2
acwuin,0.4583,94.4,681.9
adswkk,0.6875,97.2,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,82.4,577.2
adswkk,0.6875,83.8,577.2
acwuin,0.4583,8.1,681.9
adswkk,0.6875,86.5,577.2
adswkk,0.6875,76.5,577.2
acwuin,0.4583,86.1,681.9
adswkk,0.6875,76.9,577.2
acwuin,0.4583,8.1,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,82.9,577.2
adswkk,0.6875,86.5,577.2
acwuin,0.4583,94.4,681.9
acwuin,0.4583,12.8,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,93.6,681.9
adswkk,0.6875,66.7,577.2
adswkk,0.6875,86.1,577.2
adswkk,0.6875,83.8,577.2
adswkk,0.6875,86.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.1,577.2
acwuin,0.4583,83.3,681.9
adswkk,0.6875,86.1,577.2
adswkk,0.6875,77.8,577.2
adswkk,0.6875,66.7,577.2
adswkk,0.6875,94.2,577.2
adswkk,0.6875,92.2,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,18.9,681.9
adswkk,0.6875,77.8,577.2
acwuin,0.4583,8.1,681.9
adswkk,0.6875,89.5,577.2
adswkk,0.6875,80.6,577.2
adswkk,0.6875,97.2,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,88.9,681.9
adswkk,0.6875,97.2,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,22.2,681.9
adswkk,0.6875,76.9,577.2
adswkk,0.6875,89.5,577.2
adswkk,0.6875,76.5,577.2
adswkk,0.6875,80.0,577.2
acwuin,0.4583,97.3,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.6,577.2
acwuin,0.4583,83.3,681.9
adswkk,0.6875,91.4,577.2
adswkk,0.6875,100.0,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,86.1,681.9
adswkk,0.6875,86.1,577.2
adswkk,0.6875,97.2,577.2
adswkk,0.6875,82.9,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,66.7,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,82.6,577.2
acwuin,0.4583,12.8,681.9
adswkk,0.6875,82.4,577.2
adswkk,0.6875,44.4,577.2
adswkk,0.6875,78.8,577.2
adswkk,0.6875,75.0,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,93.6,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
adswkk,0.6875,88.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,90.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,81.8,577.2
acwuin,0.4583,90.9,681.9
adswkk,0.6875,86.1,577.2
adswkk,0.6875,75.0,577.2
acwuin,0.4583,25.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.8,577.2
adswkk,0.6875,0.0,577.2
adswkk,0.6875,75.0,577.2
acwuin,0.4583,97.3,681.9
adswkk,0.6875,80.0,577.2
adswkk,0.6875,81.8,577.2
adswkk,0.6875,78.8,577.2
acwuin,0.4583,90.9,681.9
acwuin,0.4583,22.2,681.9
adswkk,0.6875,77.8,577.2
adswkk,0.6875,81.8,577.2
acwuin,0.4583,98.2,681.9
adswkk,0.6875,82.6,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.1,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,86.1,681.9
acwuin,0.4583,8.1,681.9
acwuin,0.4583,97.3,681.9
acwuin,0.4583,98.2,681.9
adswkk,0.6875,89.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
acwuin,0.4583,88.9,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,77.8,577.2
adswkk,0.6875,90.0,577.2
acwuin,0.4583,83.3,681.9
adswkk,0.6875,0.0,577.2
adswkk,0.6875,89.5,577.2
adswkk,0.6875,97.2,577.2
acwuin,0.4583,8.1,681.9
acwuin,0.4583,20.0,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,86.1,681.9
adswkk,0.6875,,577.2
adswkk,0.6875,97.2,577.2
adswkk,0.6875,95.3,577.2
adswkk,0.6875,72.2,577.2
adswkk,0.6875,66.7,577.2
adswkk,0.6875,88.0,577.2
adswkk,0.6875,90.0,577.2
acwuin,0.4583,25.0,681.9
adswkk,0.6875,91.4,577.2
adswkk,0.6875,80.6,577.2
adswkk,0.6875,77.8,577.2
acwuin,0.4583,18.9,681.9
adswkk,0.6875,76.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,88.6,577.2
adswkk,0.6875,90.0,577.2
adswkk,0.6875,87.5,577.2
acwuin,0.4583,18.9,681.9
adswkk,0.6875,80.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,82.9,577.2
adswkk,0.6875,80.6,577.2
adswkk,0.6875,81.8,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,83.3,681.9
adswkk,0.6875,97.2,577.2
adswkk,0.6875,81.8,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,96.9,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.5,577.2
adswkk,0.6875,100.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.2,577.2
adswkk,0.6875,83.8,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,93.6,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.6,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,82.6,577.2
adswkk,0.6875,0.0,577.2
adswkk,0.6875,92.2,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.1,577.2
acwuin,0.4583,97.3,681.9
adswkk,0.6875,77.5,577.2
acwuin,0.4583,91.7,681.9
adswkk,0.6875,78.8,577.2
adswkk,0.6875,66.7,577.2
adswkk,0.6875,86.1,577.2
adswkk,0.6875,78.8,577.2
acwuin,0.4583,91.7,681.9
adswkk,0.6875,82.6,577.2
adswkk,0.6875,86.1,577.2
adswkk,0.6875,44.4,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
acwuin,0.4583,88.9,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
acwuin,0.4583,18.9,681.9
adswkk,0.6875,82.6,577.2
acwuin,0.4583,25.0,681.9
adswkk,0.6875,75.0,577.2
acwuin,0.4583,96.9,681.9
acwuin,0.4583,20.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,44.4,577.2
adswkk,0.6875,87.5,577.2
acwuin,0.4583,96.9,681.9
adswkk,0.6875,44.4,577.2
adswkk,0.6875,97.2,577.2
acwuin,0.4583,94.4,681.9
adswkk,0.6875,89.5,577.2
acwuin,0.4583,83.3,681.9
adswkk,0.6875,100.0,577.2
acwuin,0.4583,96.9,681.9
adswkk,0.6875,97.2,577.2
adswkk,0.6875,100.0,577.2
adswkk,0.6875,81.8,577.2
adswkk,0.6875,66.7,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,76.5,577.2
adswkk,0.6875,91.4,577.2
adswkk,0.6875,76.5,577.2
acwuin,0.4583,18.9,681.9
adswkk,0.6875,89.5,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,92.2,577.2
acwuin,0.4583,90.9,681.9
acwuin,0.4583,8.1,681.9
acwuin,0.4583,27.0,681.9
adswkk,0.6875,95.3,577.2
adswkk,0.6875,82.4,577.2
acwuin,0.4583,88.9,681.9
adswkk,0.6875,76.9,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,97.2,577.2
adswkk,0.6875,83.8,577.2
adswkk,0.6875,,577.2
adswkk,0.6875,100.0,577.2
adswkk,0.6875,94.1,577.2
adswkk,0.6875,94.6,577.2
acwuin,0.4583,86.1,681.9
acwuin,0.4583,22.2,681.9
adswkk,0.6875,88.6,577.2
acwuin,0.4583,93.6,681.9
adswkk,0.6875,80.0,577.2
adswkk,0.6875,86.8,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,83.8,577.2
adswkk,0.6875,94.2,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.1,577.2
adswkk,0.6875,94.6,577.2
adswkk,0.6875,88.6,577.2
acwuin,0.4583,18.9,681.9
acwuin,0.4583,25.0,681.9
adswkk,0.6875,86.5,577.2
adswkk,0.6875,92.2,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,89.5,577.2
adswkk,0.6875,80.6,577.2
acwuin,0.4583,97.3,681.9
adswkk,0.6875,82.9,577.2
adswkk,0.6875,94.6,577.2
adswkk,0.6875,77.8,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,93.6,681.9
acwuin,0.4583,18.9,681.9
acwuin,0.4583,96.9,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,82.9,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,27.0,681.9
adswkk,0.6875,80.0,577.2
adswkk,0.6875,100.0,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,12.8,681.9
adswkk,0.6875,76.5,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,27.0,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,86.1,681.9
adswkk,0.6875,44.4,577.2
acwuin,0.4583,90.9,681.9
adswkk,0.6875,77.8,577.2
adswkk,0.6875,83.8,577.2
adswkk,0.6875,90.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,90.0,577.2
acwuin,0.4583,93.6,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,97.2,577.2
adswkk,0.6875,89.5,577.2
adswkk,0.6875,100.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,90.0,577.2
acwuin,0.4583,20.0,681.9
adswkk,0.6875,89.5,577.2
acwuin,0.4583,91.7,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,90.0,577.2
acwuin,0.4583,96.9,681.9
adswkk,0.6875,44.4,577.2
adswkk,0.6875,76.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.6,577.2
adswkk,0.6875,90.0,577.2
adswkk,0.6875,82.9,577.2
acwuin,0.4583,8.1,681.9
adswkk,0.6875,100.0,577.2
adswkk,0.6875,88.0,577.2
adswkk,0.6875,80.6,577.2
adswkk,0.6875,82.9,577.2
adswkk,0.6875,76.5,577.2
adswkk,0.6875,90.0,577.2
acwuin,0.4583,12.8,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,88.9,681.9
acwuin,0.4583,90.9,681.9
adswkk,0.6875,82.9,577.2
adswkk,0.6875,86.5,577.2
adswkk,0.6875,80.0,577.2
adswkk,0.6875,80.6,577.2
adswkk,0.6875,86.5,577.2
adswkk,0.6875,82.6,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,90.9,681.9
adswkk,0.6875,66.7,577.2
adswkk,0.6875,76.5,577.2
adswkk,0.6875,90.0,577.2
adswkk,0.6875,83.8,577.2
acwuin,0.4583,90.9,681.9
adswkk,0.6875,75.0,577.2
acwuin,0.4583,15.0,681.9
acwuin,0.4583,25.0,681.9
adswkk,0.6875,89.5,577.2
adswkk,0.6875,100.0,577.2
acwuin,0.4583,25.0,681.9
adswkk,0.6875,83.8,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
adswkk,0.6875,92.2,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,75.0,577.2
adswkk,0.6875,94.2,577.2
adswkk,0.6875,66.7,577.2
adswkk,0.6875,91.4,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,89.5,577.2
adswkk,0.6875,86.5,577.2
acwuin,0.4583,8.1,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,96.9,681.9
adswkk,0.6875,72.2,577.2
adswkk,0.6875,66.7,577.2
adswkk,0.6875,80.6,577.2
adswkk,0.6875,44.4,577.2
adswkk,0.6875,86.5,577.2
adswkk,0.6875,86.1,577.2
adswkk,0.6875,80.0,577.2
adswkk,0.6875,94.6,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
acwuin,0.4583,18.9,681.9
acwuin,0.4583,22.2,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,96.9,681.9
adswkk,0.6875,66.7,577.2
adswkk,0.6875,90.0,577.2
adswkk,0.6875,0.0,577.2
acwuin,0.4583,8.1,681.9
acwuin,0.4583,20.0,681.9
adswkk,0.6875,76.5,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,88.9,681.9
acwuin,0.4583,8.1,681.9
acwuin,0.4583,8.1,681.9
adswkk,0.6875,76.9,577.2
acwuin,0.4583,83.3,681.9
acwuin,0.4583,88.9,681.9
acwuin,0.4583,8.1,681.9
acwuin,0.4583,8.1,681.9
adswkk,0.6875,94.1,577.2
acwuin,0.4583,86.1,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,77.5,577.2
acwuin,0.4583,15.0,681.9
adswkk,0.6875,76.5,577.2
adswkk,0.6875,0.0,577.2
acwuin,0.4583,98.2,681.9
adswkk,0.6875,83.8,577.2
acwuin,0.4583,93.6,681.9
adswkk,0.6875,94.2,577.2
adswkk,0.6875,83.3,577.2
adswkk,0.6875,94.2,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
adswkk,0.6875,100.0,577.2
adswkk,0.6875,86.5,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,96.9,681.9
adswkk,0.6875,78.8,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,83.8,577.2
acwuin,0.4583,15.0,681.9
adswkk,0.6875,87.5,577.2
acwuin,0.4583,18.9,681.9
adswkk,0.6875,66.7,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,8.1,681.9
adswkk,0.6875,78.8,577.2
acwuin,0.4583,93.6,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,80.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
acwuin,0.4583,83.3,681.9
adswkk,0.6875,80.6,577.2
acwuin,0.4583,25.0,681.9
adswkk,0.6875,86.1,577.2
adswkk,0.6875,100.0,577.2
adswkk,0.6875,76.5,577.2
adswkk,0.6875,82.9,577.2
adswkk,0.6875,0.0,577.2
adswkk,0.6875,95.3,577.2
acwuin,0.4583,25.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,77.5,577.2
adswkk,0.6875,75.0,577.2
adswkk,0.6875,86.1,577.2
adswkk,0.6875,80.0,577.2
acwuin,0.4583,8.1,681.9
adswkk,0.6875,82.6,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,76.9,577.2
adswkk,0.6875,95.3,577.2
acwuin,0.4583,86.1,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,8.1,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.6,577.2
acwuin,0.4583,83.3,681.9
adswkk,0.6875,100.0,577.2
adswkk,0.6875,76.9,577.2
adswkk,0.6875,89.5,577.2
adswkk,0.6875,80.6,577.2
adswkk,0.6875,82.6,577.2
adswkk,0.6875,66.7,577.2
adswkk,0.6875,66.7,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
adswkk,0.6875,82.6,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,77.5,577.2
acwuin,0.4583,25.0,681.9
adswkk,0.6875,88.0,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,100.0,577.2
acwuin,0.4583,93.6,681.9
adswkk,0.6875,0.0,577.2
acwuin,0.4583,88.9,681.9
adswkk,0.6875,66.7,577.2
acwuin,0.4583,8.1,681.9
acwuin,0.4583,98.2,681.9
adswkk,0.6875,90.0,577.2
adswkk,0.6875,76.5,577.2
adswkk,0.6875,80.6,577.2
adswkk,0.6875,72.2,577.2
adswkk,0.6875,89.5,577.2
adswkk,0.6875,90.0,577.2
acwuin,0.4583,90.9,681.9
acwuin,0.4583,18.9,681.9
adswkk,0.6875,82.9,577.2
adswkk,0.6875,0.0,577.2
acwuin,0.4583,8.1,681.9
acwuin,0.4583,90.9,681.9
acwuin,0.4583,90.9,681.9
acwuin,0.4583,93.6,681.9
adswkk,0.6875,77.5,577.2
adswkk,0.6875,95.3,577.2
adswkk,0.6875,100.0,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,15.0,681.9
adswkk,0.6875,92.2,577.2
acwuin,0.4583,93.6,681.9
acwuin,0.4583,20.0,681.9
adswkk,0.6875,90.0,577.2
acwuin,0.4583,93.6,681.9
adswkk,0.6875,81.8,577.2
acwuin,0.4583,97.3,681.9
adswkk,0.6875,86.1,577.2
adswkk,0.6875,66.7,577.2
adswkk,0.6875,94.1,577.2
acwuin,0.4583,98.2,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,75.0,577.2
acwuin,0.4583,96.9,681.9
adswkk,0.6875,86.8,577.2
acwuin,0.4583,22.2,681.9
acwuin,0.4583,83.3,681.9
adswkk,0.6875,0.0,577.2
acwuin,0.4583,96.9,681.9
acwuin,0.4583,20.0,681.9
acwuin,0.4583,83.3,681.9
adswkk,0.6875,81.8,577.2
adswkk,0.6875,78.8,577.2
adswkk,0.6875,88.6,577.2
adswkk,0.6875,94.2,577.2
acwuin,0.4583,8.1,681.9
acwuin,0.4583,12.8,681.9
adswkk,0.6875,66.7,577.2
adswkk,0.6875,75.0,577.2
acwuin,0.4583,22.2,681.9
acwuin,0.4583,97.3,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,97.3,681.9
adswkk,0.6875,82.6,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,78.8,577.2
adswkk,0.6875,76.5,577.2
adswkk,0.6875,77.8,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,0.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,0.0,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.1,577.2
acwuin,0.4583,20.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.6,577.2
adswkk,0.6875,77.8,577.2
adswkk,0.6875,86.8,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,92.2,577.2
adswkk,0.6875,0.0,577.2
adswkk,0.6875,87.5,577.2
adswkk,0.6875,87.5,577.2
acwuin,0.4583,18.9,681.9
adswkk,0.6875,100.0,577.2
adswkk,0.6875,77.8,577.2
acwuin,0.4583,93.6,681.9
adswkk,0.6875,88.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,90.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,83.8,577.2
adswkk,0.6875,82.6,577.2
adswkk,0.6875,66.7,577.2
adswkk,0.6875,86.8,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.1,577.2
acwuin,0.4583,27.0,681.9
adswkk,0.6875,76.5,577.2
acwuin,0.4583,96.9,681.9
adswkk,0.6875,80.0,577.2
adswkk,0.6875,94.6,577.2
adswkk,0.6875,66.7,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,18.9,681.9
adswkk,0.6875,86.8,577.2
adswkk,0.6875,76.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.1,577.2
acwuin,0.4583,27.0,681.9
adswkk,0.6875,82.4,577.2
acwuin,0.4583,91.7,681.9
adswkk,0.6875,92.2,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,83.3,681.9
acwuin,0.4583,8.1,681.9
acwuin,0.4583,88.9,681.9
adswkk,0.6875,90.0,577.2
adswkk,0.6875,89.5,577.2
adswkk,0.6875,75.0,577.2
adswkk,0.6875,100.0,577.2
adswkk,0.6875,77.5,577.2
adswkk,0.6875,90.0,577.2
adswkk,0.6875,76.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,83.3,577.2
adswkk,0.6875,0.0,577.2
adswkk,0.6875,87.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,75.0,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,12.8,681.9
acwuin,0.4583,94.4,681.9
adswkk,0.6875,94.6,577.2
adswkk,0.6875,86.1,577.2
acwuin,0.4583,83.3,681.9
acwuin,0.4583,83.3,681.9
adswkk,0.6875,94.1,577.2
adswkk,0.6875,77.5,577.2
adswkk,0.6875,82.9,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,76.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.5,577.2
adswkk,0.6875,86.5,577.2
adswkk,0.6875,97.2,577.2
adswkk,0.6875,86.5,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,94.2,577.2
acwuin,0.4583,83.3,681.9
adswkk,0.6875,80.0,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,83.3,681.9
acwuin,0.4583,25.0,681.9
adswkk,0.6875,82.6,577.2
adswkk,0.6875,83.8,577.2
acwuin,0.4583,97.3,681.9
acwuin,0.4583,90.9,681.9
adswkk,0.6875,66.7,577.2
adswkk,0.6875,66.7,577.2
acwuin,0.4583,8.1,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,75.0,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,0.0,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.5,577.2
adswkk,0.6875,76.5,577.2
adswkk,0.6875,90.0,577.2
adswkk,0.6875,80.6,577.2
acwuin,0.4583,90.9,681.9
adswkk,0.6875,75.0,577.2
adswkk,0.6875,86.5,577.2
adswkk,0.6875,88.0,577.2
adswkk,0.6875,83.3,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,83.3,681.9
acwuin,0.4583,8.1,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,90.9,681.9
adswkk,0.6875,92.2,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.5,577.2
adswkk,0.6875,80.0,577.2
adswkk,0.6875,80.6,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.1,577.2
acwuin,0.4583,93.6,681.9
adswkk,0.6875,82.9,577.2
adswkk,0.6875,90.0,577.2
adswkk,0.6875,89.5,577.2
adswkk,0.6875,75.0,577.2
adswkk,0.6875,92.2,577.2
adswkk,0.6875,72.2,577.2
adswkk,0.6875,86.1,577.2
adswkk,0.6875,100.0,577.2
acwuin,0.4583,93.6,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,98.2,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,91.4,577.2
adswkk,0.6875,86.8,577.2
acwuin,0.4583,86.1,681.9
acwuin,0.4583,25.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,76.5,577.2
adswkk,0.6875,95.3,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,88.9,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,20.0,681.9
acwuin,0.4583,96.9,681.9
adswkk,0.6875,75.0,577.2
adswkk,0.6875,83.8,577.2
acwuin,0.4583,25.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,90.0,577.2
adswkk,0.6875,81.8,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,76.5,577.2
adswkk,0.6875,80.0,577.2
acwuin,0.4583,15.0,681.9
adswkk,0.6875,100.0,577.2
adswkk,0.6875,100.0,577.2
acwuin,0.4583,27.0,681.9
adswkk,0.6875,94.2,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,86.8,577.2
acwuin,0.4583,27.0,681.9
adswkk,0.6875,76.5,577.2
adswkk,0.6875,97.2,577.2
adswkk,0.6875,76.5,577.2
acwuin,0.4583,90.9,681.9
acwuin,0.4583,22.2,681.9
acwuin,0.4583,15.0,681.9
adswkk,0.6875,94.6,577.2
adswkk,0.6875,89.5,577.2
acwuin,0.4583,18.9,681.9
adswkk,0.6875,66.7,577.2
adswkk,0.6875,86.1,577.2
acwuin,0.4583,86.1,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,97.3,681.9
adswkk,0.6875,0.0,577.2
adswkk,0.6875,91.4,577.2
adswkk,0.6875,82.6,577.2
adswkk,0.6875,86.5,577.2
adswkk,0.6875,87.5,577.2
adswkk,0.6875,78.8,577.2
adswkk,0.6875,89.5,577.2
adswkk,0.6875,92.2,577.2
adswkk,0.6875,75.0,577.2
acwuin,0.4583,93.6,681.9
adswkk,0.6875,87.5,577.2
acwuin,0.4583,83.3,681.9
adswkk,0.6875,90.0,577.2
acwuin,0.4583,96.9,681.9
acwuin,0.4583,96.9,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,81.8,577.2
acwuin,0.4583,96.9,681.9
acwuin,0.4583,12.8,681.9
adswkk,0.6875,0.0,577.2
adswkk,0.6875,88.6,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,80.6,577.2
acwuin,0.4583,100.0,681.9
adswkk,0.6875,90.0,577.2
adswkk,0.6875,94.1,577.2
acwuin,0.4583,8.1,681.9
adswkk,0.6875,80.0,577.2
adswkk,0.6875,83.8,577.2
acwuin,0.4583,18.9,681.9
acwuin,0.4583,93.6,681.9
adswkk,0.6875,86.1,577.2
adswkk,0.6875,0.0,577.2
adswkk,0.6875,94.6,577.2
adswkk,0.6875,0.0,577.2
acwuin,0.4583,25.0,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,100.0,681.9
adswkk,0.6875,0.0,577.2
acwuin,0.4583,97.3,681.9
adswkk,0.6875,86.8,577.2
adswkk,0.6875,76.9,577.2
acwuin,0.4583,100.0,681.9
acwuin,0.4583,15.0,681.9
acwuin,0.4583,97.3,681.9
acwuin,0.4583,100.0,681.9
acwuin,0.4583,97.3,681.9
adswkk,0.6875,88.6,577.2
adswkk,0.6875,75.0,577.2
